Z,N,symbol,energy ,, jp,
11,11,Na,0,,3,
11,11,Na,583.05,,1,
11,11,Na,657,,0,
11,11,Na,890.89,,4,
11,11,Na,1528.1,,5,
11,11,Na,1936.9,,1,
11,11,Na,1951.8,,2,
11,11,Na,1983.5,,3,
11,11,Na,2211.4,,1,
11,11,Na,2571.5,,2,
11,11,Na,2968.6,,3,
11,11,Na,3059.4,,2,
11,11,Na,3519.1,,3,
11,11,Na,3706.7,,6,
11,11,Na,3941.9,,1,
11,11,Na,4071.4,,4,
11,11,Na,4296.2,,0,
11,11,Na,4319,,1,
11,11,Na,4360,,2,
11,11,Na,4468.7,,4,
11,11,Na,4523.9,,5,
11,11,Na,4583,,2,
11,11,Na,4622,,1,
11,11,Na,4710,,5,
11,11,Na,4770,,3,
11,11,Na,5062.5,,2,
11,11,Na,5100.4,,4,
11,11,Na,5174,,1,
11,11,Na,5318,,3,
11,11,Na,5603,,1,
11,11,Na,5739,,1,
11,11,Na,5863,,1,
11,11,Na,5959,,2,
11,11,Na,5995,,1,
11,11,Na,6090,,1,
11,11,Na,6189,,0,
11,11,Na,6329,,0,
11,11,Na,6551,,1,
11,11,Na,6834,,0,
11,11,Na,6859.3,,1,
11,11,Na,7152,,3,
11,11,Na,7220,,1,
11,11,Na,7240,,2,
11,11,Na,7278,,1,
11,11,Na,7360,,3,
11,11,Na,7372,,2,
11,11,Na,7378,,2,
11,11,Na,7401,,1,
11,11,Na,7408.6,,1,
11,11,Na,7423,,2,
11,11,Na,7471.7,,2,
11,11,Na,7515.2,,3,
11,11,Na,7573.5,,3,
11,11,Na,7599,,2,
11,11,Na,7605,,1,
11,11,Na,7636,,2,
11,11,Na,7683,,2,
11,11,Na,7778.2,,1,
11,11,Na,7800.6,,1,
11,11,Na,7821.1,,1,
11,11,Na,7889.1,,4,
11,11,Na,7919,,2,
11,11,Na,7965,,0,
11,11,Na,7977,,1,
11,11,Na,8018,,4,
11,11,Na,8041,,2,
11,11,Na,8101,,1,
11,11,Na,8108,,3,
11,11,Na,8114,,3,
11,11,Na,8165,,3,
11,11,Na,8197,,2,
11,11,Na,8211,,1,
11,11,Na,8221,,4,
11,11,Na,8234,,1,
11,11,Na,8288,,1,
11,11,Na,8328,,1,
11,11,Na,8436,,1,
11,11,Na,8496,,1,
11,11,Na,8538,,1,
11,11,Na,8567,,0,
11,11,Na,8602,,1,
11,11,Na,8636,,1,
11,12,Na,0,,1.5,3
11,12,Na,439.99,,2.5,5
11,12,Na,2076.011,,3.5,7
11,12,Na,2390.732,,0.5,1
11,12,Na,2639.85,,0.5,1
11,12,Na,2703.5,,4.5,9
11,12,Na,2982.06,,1.5,3
11,12,Na,3677.6,,1.5,3
11,12,Na,3848.069,,2.5,5
11,12,Na,3914.239,,2.5,5
11,12,Na,4429.64,,0.5,1
11,12,Na,4774.61,,3.5,7
11,12,Na,5378.57,,2.5,5
11,12,Na,5534,,5.5,11
11,12,Na,5741.75,,2.5,5
11,12,Na,5766.03,,1.5,3
11,12,Na,5926.81,,3.5,7
11,12,Na,5964.42,,1.5,3
11,12,Na,6042.19,,3.5,7
11,12,Na,6114.9,,3.5,7
11,12,Na,6194.6,,2.5,5
11,12,Na,6235.4,,4.5,9
11,12,Na,6307.96,,0.5,1
11,12,Na,6354.51,,4.5,9
11,12,Na,6577.79,,4.5,9
11,12,Na,6618,,1.5,3
11,12,Na,6735.51,,1.5,3
