,e0index
0,-1
1,81
2,233
3,330
4,436
5,617
6,804
7,1048
8,1100
9,1244
10,1504
11,1849
12,2060
13,2249
14,2494
15,2515
16,2694
17,3078
18,3215
19,3355
20,3534
21,3866
22,4036
23,4188
24,4346
25,4471
26,4569
27,4847
28,4934
29,5163
30,5290
31,5516
32,5595
33,5663
34,5764
35,5944
36,6078
37,6225
38,6283
39,6538
40,6924
41,7193
42,7329
43,7480
44,7544
45,7621
46,7708
47,7782
48,7863
49,7940
50,8103
51,8166
52,8295
53,8398
54,8606
55,8721
56,8806
57,8933
58,9012
59,9184
60,9337
61,9448
62,9558
63,9609
64,9677
65,9737
66,9791
67,9834
68,9896
69,9949
70,10006
71,10117
72,10197
73,10272
74,10416
75,10659
76,11011
77,11160
78,11369
79,11779
80,11874
81,11927
82,12056
83,12192
84,12294
85,12408
86,12571
87,12693
88,12751
89,12857
90,13015
91,13132
92,13214
93,13288
94,13363
95,13403
96,13535
97,13626
98,13750
99,13863
100,13972
101,14153
102,14224
103,14383
104,14465
105,14708
106,14783
107,15067
108,15240
109,15311
110,15445
111,15602
112,15742
113,15957
114,16032
115,16139
116,16231
117,16312
118,16369
119,16421
120,16485
121,16609
122,16647
123,16850
124,17128
125,17268
126,17332
127,17414
128,17470
129,17611
130,17693
131,17744
132,17797
133,17832
134,17887
135,17936
136,18038
137,18116
138,18187
139,18413
140,18497
141,18553
142,18718
143,18903
144,19029
145,19219
146,19368
147,19472
148,19596
149,19858
150,19964
151,20094
152,20248
153,20431
154,20524
155,20610
156,21200
157,21475
158,21778
159,21906
160,21955
161,22162
162,22238
163,22551
164,22645
165,22979
166,23235
167,23882
168,24052
169,24192
170,24393
171,24561
172,25028
173,25092
174,25269
175,25322
176,25988
177,26057
178,26329
179,26382
180,26449
181,26808
182,26863
183,26987
184,27083
185,27156
186,27494
187,27558
188,27583
189,27670
190,27714
191,27982
192,28060
193,28107
194,28189
195,29011
196,0
