N or Z,P(Z),P(N),S(Z),S(N)
9,0,0,-0.111,10.303
10,-2.5,-2.5,-0.811,5.663
11,0,0,-2.91,6.8
12,2.46,2.67,-4.17,7.53
13,0,0,-5.72,7.55
14,2.09,1.8,-7.8,7.21
15,0,0,-8.97,7.44
16,1.62,1.67,-9.7,8.07
17,0,0,-10.1,8.94
18,1.62,1.86,-10.7,9.81
19,0,0,-11.38,10.6
20,1.83,2.04,-12.07,11.39
21,0,0,-12.55,12.54
22,1.73,1.64,-13.24,13.68
23,0,0,-13.93,14.34
24,1.35,1.44,-14.71,14.19
25,0,0,-15.53,13.83
26,1.54,1.54,-16.37,13.5
27,0,0,-17.36,13
28,1.2,1.3,-18.52,12.13
29,0,0,-18.44,12.6
30,1.06,1.27,-18.19,13.26
31,0,0,-17.68,14.13
32,1.36,1.29,-17.09,14.92
33,0,0,-16.65,15.6
34,1.43,1.41,-16.66,16.38
35,0,0,-16.59,17.08
36,1.17,1.5,-16.35,17.55
37,0,0,-16.18,17.98
38,1.24,1.5,-16.41,18.33
39,0,0,-16.6,18.56
40,1.2,1.43,-16.54,18.71
41,0,0,-16.42,18.65
42,1.28,1.88,-16.84,18.55
43,0,0,-17.22,18.52
44,1.28,1.47,-17.42,18.34
45,0,0,-17.52,18.01
46,1.35,1.57,-17.82,17.38
47,0,0,-18.19,16.56
48,1.36,1.46,-18.58,15.62
49,0,0,-19.11,14.38
50,1.19,0.93,-19.83,12.88
51,0,0,-19.14,13.24
52,1.14,0.72,-18.35,13.71
53,0,0,-17.4,14.4
54,1.12,1.12,-16.54,15.16
55,0,0,-15.68,15.89
56,1.58,1.29,-14.75,16.43
57,0,0,-13.71,16.97
58,1.17,0.94,-12.87,17.59
59,0,0,-12.18,18.08
60,1.18,1.24,-11.61,18.72
61,0,0,-11.09,19.22
62,1.22,1.25,-10.78,19.51
63,0,0,-10.53,19.73
64,0.97,1.14,-10.41,19.91
65,0,0,-10.21,20.06
66,0.92,1.32,-9.85,20.16
67,0,0,-9.36,20.09
68,0.62,1.15,-8.97,19.83
69,0,0,-8.56,19.41
70,0.68,1.24,-8.13,19.06
71,0,0,-7.68,18.66
72,0.64,1.43,-7.33,17.73
73,0,0,-7.11,17.03
74,0.72,1.09,-7.16,16.44
75,0,0,-7.05,16
76,0.75,1.2,-6.81,15.33
77,0,0,-6.56,14.49
78,0.71,1.04,-6.95,13.42
79,0,0,-7.52,12.28
80,0.87,0.7,-8.03,11.14
81,0,0,-8.41,10.1
82,0.83,0.85,-8.86,9.09
83,0,0,-7.71,10
84,0.89,0.76,-6.38,10.64
85,0,0,-5.47,11.18
86,0.79,0.92,-4.78,11.7
87,0,0,-4.37,12.22
88,0.89,0.99,-4.17,12.71
89,0,0,-4.12,13.05
90,0.78,1.1,-4.29,12.99
91,0,0,-4.61,12.62
92,0.69,0.92,-5.04,12.11
93,0,0,-5.48,11.66
94,0.61,0.73,-5.96,11.21
95,0,0,-6.4,10.81
96,0.72,0.7,-6.87,10.38
97,0,0,-7.2,10.03
98,0.77,0.87,-7.74,9.65
99,0,0,0,9.38
100,0,0.61,0,8.99
101,0,0,0,8.62
102,0,0.69,0,8.33
103,0,0,0,8.1
104,0,0.55,0,7.82
105,0,0,0,7.56
106,0,0.4,0,7.33
107,0,0,0,7.15
108,0,0.73,0,6.83
109,0,0,0,6.69
110,0,0.58,0,6.55
111,0,0,0,6.53
112,0,0.86,0,6.49
113,0,0,0,6.39
114,0,1.13,0,5.82
115,0,0,0,5.26
116,0,0.84,0,4.53
117,0,0,0,3.83
118,0,0.79,0,3.08
119,0,0,0,2.37
120,0,0.82,0,1.72
121,0,0,0,1.05
122,0,0.71,0,0.27
123,0,0,0,-0.69
124,0,0.41,0,-1.69
125,0,0,0,-2.58
126,0,0.38,0,-3.16
127,0,0,0,-1.72
128,0,0.67,0,-0.41
129,0,0,0,0.71
130,0,0.61,0,1.66
131,0,0,0,2.62
132,0,0.78,0,3.22
133,0,0,0,3.76
134,0,0.67,0,4.1
135,0,0,0,4.46
136,0,0.67,0,4.83
137,0,0,0,5.09
138,0,0.79,0,5.18
139,0,0,0,5.17
140,0,0.6,0,5.1
141,0,0,0,5.05
142,0,0.57,0,5.04
143,0,0,0,5.03
144,0,0.49,0,4.99
145,0,0,0,4.98
146,0,0.43,0,5.11
147,0,0,0,5.27
148,0,0.5,0,5.39
149,0,0,0,5.37
150,0,0.39,0,5.3
